[2021-03-19 09:00:43,964][conftest.py 21][DEBUG]: 执行数据库初始化数据D:\app\AspBac\testdata\init_OpenAccount.sql
[2021-03-19 09:00:44,123][test_OpenAccount.py 31][INFO]: ***********************  开始执行用例 *********************** 
[2021-03-19 09:00:44,124][Bac_Reqx.py 26][INFO]: 重置节点列表：['$.pubInfo.reqTime=20210319090044']
[2021-03-19 09:00:44,953][test_OpenAccount.py 47][INFO]: 请求消息体: {"reqParam": {"pubInfo":{"systemCode":"ASPTEST2","msgVer":"1.0","reqTime":"20210319090044"},"openAcctInfo":{"userInfo":{"bindMobile":"15818640852","userId":"900002","email":"qiuhaiyang@139.com"},"normalAcctPayType":1,"contractInfo":{"contractId":"9000000000000200002"},"contractAcctPayType":1,"acctType":"10","validTime":"","customInfo":{"identityNumber":"100000002","customName":"OCE"},"invalidTime":"","busiTypeList":"16","creditWoffResume":1,"acctName":"陈国森2"}},"sign": "MCwCFAcvgbT6ytwARij8D/06FyhByvIfAhROrWTJfT1o9wh1Vpzq7Pw1/7pHSg=="}
[2021-03-19 09:00:46,638][Result_assert.py 24][INFO]: $.message的实际结果:【成功】---->>预期结果:【成功】
[2021-03-19 09:00:46,665][Result_assert.py 24][INFO]: $.status的实际结果:【200】---->>预期结果:【200】
[2021-03-19 09:00:46,690][Result_assert.py 24][INFO]: $.data.rspParam.pubInfo.returnCode的实际结果:【0】---->>预期结果:【0】
[2021-03-19 09:00:46,715][Result_assert.py 24][INFO]: $.data.rspParam.pubInfo.returnMsg的实际结果:【成功】---->>预期结果:【成功】
[2021-03-19 09:00:47,208][Result_assert.py 40][INFO]: 数据库断言实际结果:【1】---->>预期结果:【1】
[2021-03-19 09:00:47,698][Result_assert.py 40][INFO]: 数据库断言实际结果:【1】---->>预期结果:【1】
[2021-03-19 09:00:48,144][Result_assert.py 40][INFO]: 数据库断言实际结果:【4】---->>预期结果:【4】
[2021-03-19 09:00:48,145][test_OpenAccount.py 69][INFO]: ***********************  结束执行用例 *********************** 
[2021-03-19 09:00:48,163][test_OpenAccount.py 31][INFO]: ***********************  开始执行用例 *********************** 
[2021-03-19 09:00:48,164][Bac_Reqx.py 26][INFO]: 重置节点列表：['$.pubInfo.reqTime=20210319090048']
